Date,Close_Lag1,Close_Lag2,Close_Lag3,MA5,Volume,Volume_MA5,Sentiment,Next_Close
2026-01-09,139.98,139.56,139.16,139.4,1024665,969928.0,-0.029,139.08
2026-01-12,139.08,139.98,139.56,139.72,967834,968008.0,0.476,140.83
2026-01-13,140.83,139.08,139.98,140.4,977669,990005.0,-0.12,142.57
2026-01-14,142.57,140.83,139.08,141.4,1119730,1015273.0,0.136,144.53
2026-01-15,144.53,142.57,140.83,142.53,1104050,1038790.0,0.601,145.66
2026-01-16,145.66,144.53,142.57,144.26,1061190,1046095.0,0.442,147.71
2026-01-19,147.71,145.66,144.53,146.09,1072375,1067003.0,0.258,149.96
2026-01-20,149.96,147.71,145.66,148.04,1030473,1077564.0,0.659,152.36
2026-01-21,152.36,149.96,147.71,149.8,974583,1048534.0,0.316,153.33
2026-01-22,153.33,152.36,149.96,150.93,946515,1017027.0,0.114,151.27
2026-01-23,151.27,153.33,152.36,152.09,980408,1000871.0,0.372,153.54
2026-01-26,153.54,151.27,153.33,153.03,865049,959406.0,-0.173,154.67
