Applicant_ID,Age,Annual_Income_INR,Debt_to_Income_Ratio,Late_Payments_12M,Credit_History_Years,Credit_Utilization_Ratio,Existing_Loans,Employment_Years,Credit_Score
1,61,576000,0.07,4,8,0.24,5,3,341
2,26,1536000,0.07,1,4,0.24,4,0,484
3,56,840000,0.5,8,14,0.23,4,8,300
4,31,1536000,0.26,2,4,0.91,2,1,413
5,26,1404000,0.11,5,5,0.77,5,7,322
6,45,480000,0.4,5,19,0.21,0,1,323
7,63,936000,0.54,1,28,0.24,0,12,494
8,44,732000,0.28,3,22,0.28,5,20,463
9,25,756000,0.39,3,2,0.46,2,3,309
10,24,936000,0.57,5,4,0.28,1,4,300
11,41,888000,0.46,6,21,0.45,2,4,324
12,37,1548000,0.62,6,12,0.23,1,16,416
13,52,516000,0.53,1,5,0.61,6,21,316
14,45,1668000,0.38,8,1,0.66,0,21,351
15,55,1056000,0.53,5,4,0.3,1,14,369
16,37,1776000,0.53,8,4,0.83,2,16,302
17,59,840000,0.15,2,18,0.91,4,0,369
18,28,1344000,0.6,4,4,0.08,4,1,341
19,26,1728000,0.56,8,3,0.15,3,8,338
20,59,1536000,0.66,8,25,0.7,1,22,370
21,40,1464000,0.68,5,15,0.86,3,3,302
22,22,936000,0.42,0,1,0.68,0,1,396
23,25,336000,0.59,1,5,0.25,5,7,304
24,57,1692000,0.2,7,26,0.4,0,3,479
25,63,1560000,0.27,6,15,0.82,0,21,414
26,24,1476000,0.51,1,2,0.21,4,3,414
27,29,1536000,0.17,7,4,0.83,0,7,368
28,27,384000,0.46,8,1,0.92,6,3,300
29,31,1488000,0.36,3,7,0.86,1,6,419
30,50,1116000,0.32,8,22,0.69,1,6,322
31,39,900000,0.66,8,2,0.72,0,1,300
32,54,720000,0.09,8,3,0.81,0,19,300
33,25,960000,0.3,3,5,0.58,4,1,321
34,54,1200000,0.64,3,22,0.69,1,8,399
35,46,636000,0.47,4,15,0.32,6,2,323
36,57,540000,0.1,3,17,0.27,2,2,417
37,36,1368000,0.23,7,18,0.68,4,16,410
38,40,552000,0.64,2,9,0.14,0,17,377
39,30,1068000,0.23,3,12,0.35,5,10,436
40,37,396000,0.11,6,9,0.07,2,4,312
41,61,1044000,0.15,7,18,0.68,4,0,353
42,65,696000,0.39,5,19,0.54,3,4,342
43,23,1176000,0.28,0,3,0.22,1,5,518
44,47,708000,0.63,3,28,0.18,6,25,424
45,32,1500000,0.07,5,13,0.89,6,10,423
46,38,720000,0.55,1,13,0.83,6,15,308
47,35,852000,0.56,7,12,0.31,6,7,300
48,46,1248000,0.23,1,25,0.29,5,16,574
49,46,1248000,0.64,1,9,0.19,2,1,435
50,41,1572000,0.43,8,4,0.38,4,6,315
51,37,372000,0.5,0,17,0.88,4,6,323
52,63,1248000,0.44,1,24,0.86,4,9,450
53,63,1488000,0.26,4,18,0.15,3,21,544
54,32,1164000,0.31,0,5,0.29,3,12,477
55,58,1224000,0.34,7,22,0.23,3,25,449
56,31,492000,0.23,5,2,0.78,6,3,300
57,64,1188000,0.19,3,5,0.05,1,15,465
58,50,1512000,0.61,3,23,0.67,3,12,408
59,36,684000,0.46,0,4,0.75,1,5,368
60,50,384000,0.4,1,15,0.15,3,21,401
61,54,1212000,0.65,7,20,0.78,4,13,300
62,31,1692000,0.33,3,11,0.29,6,8,446
63,52,972000,0.22,1,23,0.29,2,10,511
64,29,696000,0.2,2,4,0.09,3,5,432
65,55,1668000,0.31,3,27,0.42,6,18,531
66,57,1404000,0.35,5,10,0.72,6,13,352
67,55,912000,0.36,4,14,0.48,3,10,353
68,31,1668000,0.63,8,1,0.86,4,9,300
69,63,312000,0.1,6,5,0.83,1,1,300
70,50,1236000,0.26,6,9,0.72,6,13,342
71,37,480000,0.35,8,2,0.95,2,7,300
72,62,360000,0.53,3,7,0.8,4,4,300
73,36,624000,0.35,1,7,0.46,2,11,405
74,28,732000,0.66,1,10,0.05,2,9,415
75,64,1392000,0.3,3,3,0.57,6,20,413
76,40,600000,0.55,0,12,0.52,5,11,394
77,25,1788000,0.46,0,7,0.42,3,1,484
78,50,708000,0.32,8,21,0.28,6,17,308
79,51,1668000,0.32,4,11,0.81,6,2,377
80,50,1404000,0.26,7,28,0.33,3,6,445
81,43,1032000,0.26,4,18,0.04,1,2,452
82,56,972000,0.49,7,15,0.76,0,9,300
83,35,1476000,0.49,4,12,0.47,4,11,371
84,42,1320000,0.49,4,10,0.26,0,23,462
85,33,1200000,0.13,8,13,0.66,1,6,338
86,58,1104000,0.67,3,10,0.24,1,9,364
87,21,624000,0.22,0,3,0.3,1,3,433
88,39,1680000,0.35,5,6,0.92,2,15,386
89,28,432000,0.3,1,10,0.61,0,2,384
90,40,492000,0.68,1,18,0.73,4,19,351
91,60,924000,0.54,6,15,0.87,2,18,300
92,60,420000,0.43,1,25,0.22,1,8,436
93,63,480000,0.15,2,18,0.1,0,13,456
94,39,336000,0.2,4,15,0.1,1,8,390
95,61,840000,0.32,8,8,0.63,2,4,300
96,40,1116000,0.33,7,10,0.67,2,16,325
97,55,1752000,0.33,0,29,0.43,2,19,635
98,64,300000,0.68,4,19,0.07,6,5,300
99,51,1596000,0.63,2,19,0.43,6,15,471
100,47,1260000,0.25,1,28,0.18,3,22,589
101,52,1116000,0.47,6,27,0.73,0,14,387
102,28,1476000,0.59,0,9,0.46,0,3,477
103,54,1344000,0.44,7,21,0.44,0,6,374
104,39,1584000,0.6,7,4,0.06,5,19,357
105,36,720000,0.25,0,18,0.41,1,3,465
106,30,1764000,0.64,4,9,0.68,3,7,374
107,51,984000,0.34,2,13,0.21,4,16,453
108,25,1080000,0.54,6,3,0.89,4,4,300
109,21,1104000,0.51,7,1,0.44,3,2,300
110,45,1632000,0.64,3,23,0.25,3,7,491
111,47,372000,0.25,7,23,0.87,3,12,300
112,62,696000,0.36,0,5,0.49,4,10,394
113,27,1584000,0.11,7,1,0.69,3,2,371
114,37,1272000,0.44,6,3,0.81,6,17,300
115,45,1212000,0.44,7,18,0.06,0,7,361
116,35,516000,0.32,1,4,0.44,5,9,324
117,22,372000,0.25,0,3,0.36,3,1,374
118,64,792000,0.16,1,20,0.83,4,21,479
119,36,1764000,0.63,2,8,0.45,2,14,458
120,50,1116000,0.48,2,3,0.44,2,18,409
121,40,1536000,0.48,7,10,0.21,3,15,388
122,43,1140000,0.68,4,1,0.93,5,12,300
123,38,264000,0.41,0,20,0.72,6,9,351
124,43,912000,0.45,4,22,0.73,6,21,345
125,64,660000,0.45,0,10,0.76,0,18,405
126,39,1236000,0.52,2,7,0.15,4,11,431
127,54,1776000,0.63,2,9,0.87,3,25,430
128,28,1668000,0.66,2,4,0.82,5,10,399
129,46,1356000,0.11,6,1,0.27,0,14,407
130,37,1404000,0.57,5,4,0.65,3,0,315
131,60,1236000,0.63,3,21,0.09,6,14,438
132,47,588000,0.14,0,10,0.95,0,3,400
133,36,648000,0.29,5,18,0.42,5,4,341
134,52,1488000,0.64,4,2,0.67,1,14,331
135,49,960000,0.59,1,22,0.37,5,11,436
