House_ID,Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_km,Parking,Locality_Rating,Price_Lakh
1,850,2,1,18,12.5,1,5,42
2,900,2,2,15,11.8,1,6,47
3,950,2,2,12,10.5,1,6,51
4,1000,2,2,10,9.8,1,7,56
5,1050,3,2,9,9.2,1,7,61
6,1100,3,2,8,8.7,1,7,65
7,1150,3,2,7,8.1,1,8,70
8,1200,3,2,6,7.5,1,8,74
9,1250,3,2,5,7.2,2,8,79
10,1300,3,2,5,6.8,2,8,84
11,1350,3,3,4,6.2,2,9,90
12,1400,3,3,4,5.9,2,9,94
13,1450,3,3,3,5.5,2,9,99
14,1500,3,3,3,5.1,2,9,104
15,1550,3,3,2,4.8,2,9,109
16,1600,4,3,2,4.5,2,9,115
17,1650,4,3,1,4.1,2,10,121
18,1700,4,3,1,3.8,2,10,126
